2022-01-04 13:00:03,269 | requestgoogle | __init__ - INFO: Created the request google object
2022-01-04 13:00:03,734 | requestgoogle | search - ERROR: <HttpError 429 when requesting https://customsearch.googleapis.com/customsearch/v1?q=job+nepal&cx=ebee0f013159f11b8&num=10&start=1&key=AIzaSyDG5r3x9eUo8SnACPhf4xEHfJYBLAltzR0&alt=json returned "Quota exceeded for quota metric 'Queries' and limit 'Queries per day' of service 'customsearch.googleapis.com' for consumer 'project_number:618666470675'.". Details: "[{'message': "Quota exceeded for quota metric 'Queries' and limit 'Queries per day' of service 'customsearch.googleapis.com' for consumer 'project_number:618666470675'.", 'domain': 'global', 'reason': 'rateLimitExceeded'}]">
2022-01-04 13:00:03,735 | requestgoogle | search - INFO: So using AIzaSyAxKlmyVwivQaQL6dFqy3jLIiTAHMUtB9k
2022-01-04 13:00:08,912 | requestgoogle | get_100_urls - INFO: Got 100 search URLs: [] 
2022-01-04 13:00:08,925 | checkjobwebsite | __init__ - INFO: Checking Homepage based websites:
2022-01-04 13:00:08,925 | checkjobwebsite | check_urls - INFO: Verified [] to be new job websites.
2022-01-04 13:00:51,024 | requestgoogle | __init__ - INFO: Created the request google object
2022-01-04 13:00:51,395 | requestgoogle | search - ERROR: <HttpError 429 when requesting https://customsearch.googleapis.com/customsearch/v1?q=job+nepal&cx=ebee0f013159f11b8&num=10&start=1&key=AIzaSyDG5r3x9eUo8SnACPhf4xEHfJYBLAltzR0&alt=json returned "Quota exceeded for quota metric 'Queries' and limit 'Queries per day' of service 'customsearch.googleapis.com' for consumer 'project_number:618666470675'.". Details: "[{'message': "Quota exceeded for quota metric 'Queries' and limit 'Queries per day' of service 'customsearch.googleapis.com' for consumer 'project_number:618666470675'.", 'domain': 'global', 'reason': 'rateLimitExceeded'}]">
2022-01-04 13:00:51,395 | requestgoogle | search - INFO: So using AIzaSyAxKlmyVwivQaQL6dFqy3jLIiTAHMUtB9k
2022-01-04 13:00:56,818 | requestgoogle | get_100_urls - INFO: Got 100 search URLs: [] 
2022-01-04 13:00:56,818 | checkjobwebsite | __init__ - INFO: Checking Homepage based websites:
2022-01-04 13:00:56,819 | checkjobwebsite | check_urls - INFO: Verified [] to be new job websites.
2022-01-04 13:01:35,326 | requestgoogle | __init__ - INFO: Created the request google object
2022-01-04 13:01:35,684 | requestgoogle | search - ERROR: <HttpError 429 when requesting https://customsearch.googleapis.com/customsearch/v1?q=job+nepal&cx=ebee0f013159f11b8&num=10&start=1&key=AIzaSyDG5r3x9eUo8SnACPhf4xEHfJYBLAltzR0&alt=json returned "Quota exceeded for quota metric 'Queries' and limit 'Queries per day' of service 'customsearch.googleapis.com' for consumer 'project_number:618666470675'.". Details: "[{'message': "Quota exceeded for quota metric 'Queries' and limit 'Queries per day' of service 'customsearch.googleapis.com' for consumer 'project_number:618666470675'.", 'domain': 'global', 'reason': 'rateLimitExceeded'}]">
2022-01-04 13:01:35,685 | requestgoogle | search - INFO: So using AIzaSyAxKlmyVwivQaQL6dFqy3jLIiTAHMUtB9k
2022-01-04 13:01:41,023 | requestgoogle | get_100_urls - INFO: Got 100 search URLs: [] 
2022-01-04 13:01:41,023 | checkjobwebsite | __init__ - INFO: Checking Homepage based websites:
2022-01-04 13:01:41,024 | checkjobwebsite | check_urls - INFO: Verified [] to be new job websites.
2022-01-04 16:01:16,859 | requestgoogle | __init__ - INFO: Created the request google object
2022-01-04 16:01:19,959 | requestgoogle | __init__ - INFO: Created the request google object
